14,07/05/2015,19.03, ,4435000000006810,524514607, ,608
14,07/05/2015,35.64, ,5332000000003266,524514639,JM8AER,608
14,07/05/2015,12.99, ,5332000000003266,524514645,JMTOUZ,608
14,07/05/2015,10.59, ,4151000000009106,524514646,439958,608
14,07/05/2015,5.82, ,4427000000003514,524514649,813067,606
14,07/05/2015,34.96, ,4988000000001161,524514652,361652,608
14,07/05/2015,29.98, ,4737000000007729,524514608,634086,608
14,07/05/2015,10.59, ,4194000000001897,524514610,499614,608
14,07/05/2015,7.99, ,4264000000002743,524514612,05241D,606
14,07/05/2015,21.99, ,4427000000005156,524514614,012453,608
14,07/05/2015,54.57, ,4489000000008731,524514615,005772,606
14,07/05/2015,17.99, ,4435000000005918,524514616, ,608
14,07/05/2015,23.31, ,4207000000004733,524514617,014515,608
14,07/05/2015,9.53, ,4311000000000728,524514628,005936,606
14,07/05/2015,11.65, ,4733000000001611,524514629,272463,606
14,07/05/2015,14.83, ,4170000000004393,524514603,610993,606
19,07/05/2015,10.78, ,4427000000009627,524514665,426453,608
19,07/05/2015,17.27, ,4147000000003139,524514666,015002,606
19,07/05/2015,42.73, ,4427000000009083,524514669,447661,608
19,07/05/2015,17.27, ,5141000000000804,524514684,565016,606
19,07/05/2015,44.69, ,4474000000007412,524514671, ,608
19,07/05/2015,15.11, ,5297000000003109,524514683,049694,606
19,07/05/2015,66.86, ,5297000000004651,524514670,854170,608
20,07/05/2015,17.19, ,5466000000007185,524514701,01106P,606
20,07/05/2015,17.19, ,4117000000007004,524514744,124407,608
20,07/05/2015,17.24, ,5178000000007133,524514703,00179Z,606
20,07/05/2015,33.46, ,4306000000000068,524514705, ,608
20,07/05/2015,17.19, ,4435000000007904,524514707, ,608
20,07/05/2015,22.55, ,4427000000007737,524514711,466948,608
20,07/05/2015,22.76, ,4418000000006702,524514717,607629,606
20,07/05/2015,32.05, ,4435000000000857,524514718, ,608
20,07/05/2015,27.94, ,5464000000001868,524514722,018850,608
20,07/05/2015,-80.60, ,5464000000005952,524514723, ,606
20,07/05/2015,47.57, ,4675000000003199,524514726,09227C,606
20,07/05/2015,10.74, ,5156000000001774,524514727,02310P,606
20,07/05/2015,25.78, ,4081000000001308,524514730, ,608
20,07/05/2015,18.62, ,6011000000001924,524514731,00523B,605
20,07/05/2015,22.76, ,4147000000005348,524514732,00030C,606
20,07/05/2015,15.51, ,5211000000000421,524514733,045250,606
20,07/05/2015,11.81, ,5464000000005168,524514734,000275,608
20,07/05/2015,8.77, ,4306000000001161,524514735, ,608
20,07/05/2015,17.19, ,4334000000005375,524514736,560873,608
20,07/05/2015,11.81, ,5107000000008380,524514737,162151,608
20,07/05/2015,23.63, ,4334000000005949,524514738,588580,608
20,07/05/2015,35.42, ,4791000000003001,524514739,121760,608
20,07/05/2015,27.94, ,4427000000000078,524514740,505970,608
20,07/05/2015,17.19, ,4347000000006402,524514743,003517,608
20,07/05/2015,17.19, ,5464000000000289,524514702,002905,608
23,07/05/2015,14.90, ,5175000000008277,524514761,B54110,608
23,07/05/2015,17.02, ,6011000000000592,524514762,00571R,605
23,07/05/2015,17.01, ,5175000000003953,524514763,B63628,606
23,07/05/2015,8.51, ,5424000000002411,524514769,44674P,606
23,07/05/2015,22.34, ,5518000000002721,524514771, ,608
23,07/05/2015,22.35, ,5175000000003126,524514773,B38239,608
23,07/05/2015,17.03, ,4430000000000694,524514759,615201,608
23,07/05/2015,11.92, ,4457000000009036,524514775,993369,608
23,07/05/2015,7.18, ,4479000000006152,524514779,000000,608
23,07/05/2015,18.09, ,4347000000005743,524514782,015017,606
23,07/05/2015,15.96, ,4347000000005743,524514783,085617,606
